Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Elfrid Payton,ORL,73,70,7.10%,0.86,60,24,55,43.6,43.6,15.70%,8.60%,11.40%,2.90%,44.30%,61.4
Emmanuel Mudiay,DEN,68,81,6.70%,0.54,44,15,67,22.4,25.4,8.60%,8.60%,7.40%,0.00%,27.20%,10.3
Enes Kanter,OKC,82,14,1.50%,0.71,10,5,13,38.5,38.5,0.00%,7.10%,0.00%,0.00%,35.70%,29.6
Eric Bledsoe,PHX,32,89,13.10%,0.8,71,23,66,34.8,37.1,16.90%,11.20%,13.50%,2.20%,39.30%,46.4
Eric Gordon,NOP,45,47,6.90%,0.77,36,11,33,33.3,33.3,17.00%,14.90%,12.80%,2.10%,38.30%,41.2
Evan Fournier,ORL,79,59,5.10%,0.98,58,19,43,44.2,48.8,16.90%,15.30%,13.60%,5.10%,44.10%,84.2
Evan Turner,BOS,81,105,10.50%,0.9,94,34,85,40,40,14.30%,7.60%,14.30%,2.90%,43.80%,68
Frank Kaminsky,CHA,80,25,3.90%,0.92,23,9,19,47.4,50,20.00%,12.00%,16.00%,8.00%,48.00%,73.5
Garrett Temple,WAS,78,14,2.30%,1.14,16,6,12,50,66.7,0.00%,14.30%,0.00%,0.00%,42.90%,96.6
Gary Neal,WAS,40,23,6.10%,1.57,36,13,21,61.9,76.2,13.00%,0.00%,13.00%,4.30%,65.20%,99.7
Gary Harris,DEN,76,36,3.90%,0.78,28,13,32,40.6,40.6,5.60%,8.30%,5.60%,2.80%,38.90%,43.8
George Hill,IND,74,43,4.80%,0.86,37,15,39,38.5,43.6,7.00%,4.70%,4.70%,2.30%,37.20%,62.5
Gerald Green,MIA,69,22,3.30%,0.68,15,7,22,31.8,34.1,0.00%,0.00%,0.00%,0.00%,31.80%,24.1
Gerald Henderson,POR,72,57,8.60%,0.81,46,18,44,40.9,42,10.50%,10.50%,10.50%,0.00%,40.40%,49.8
Giannis Antetokounmpo,MIL,80,217,15.50%,0.82,179,65,167,38.9,40.7,15.20%,11.10%,12.40%,3.20%,41.00%,54.3
Goran Dragic,MIA,72,70,6.20%,0.91,64,26,62,41.9,47.6,5.70%,5.70%,4.30%,0.00%,41.40%,72.2
Gordon Hayward,UTA,80,176,11.00%,0.88,155,51,126,40.5,42.9,18.20%,12.50%,16.50%,2.30%,44.90%,65.3
Gorgui Dieng,MIN,82,31,3.70%,0.65,20,9,27,33.3,33.3,3.20%,9.70%,3.20%,0.00%,32.30%,20.3
Greg Monroe,MIL,79,62,5.20%,0.85,53,21,54,38.9,38.9,14.50%,3.20%,14.50%,4.80%,43.50%,59.5
Harrison Barnes,GSW,66,65,8.70%,0.82,53,23,54,42.6,42.6,9.20%,9.20%,9.20%,1.50%,41.50%,52.6
